"","Charges"
"1","BURGL OF DWELLING UNARMED NO ASSAULT"
"2","OR BATT"
"3","DAMAGE PROP-CRIM MISCH $200 OR LESS"
"4","SUBSQ OFF"
"5","OUT-OF-COUNTY WARRANT///WAKULLA CO."
"6","SO///CASE#17000221CTAXMX//DWLSR//BON"
"7","D//2000"
"8","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"9","WHILE LICE SUSPENDED REVOKED"
"10","MARIJUANA-POSSESS WITH INTENT TO SELL"
"11","MFG OR DELIVER SCHEDULE I"
"12","COCAINE-POSSESS WITH INTENT TO SELL"
"13","MFG DELIV ETC SCHEDULE II"
"14","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"15","WITHOUT PRESCRIPTION"
"16","NARCOTIC EQUIP-POSSESS AND OR USE"
"17","NARCOTIC EQUIP-POSSESS AND OR USE"
"18","DUI ALCOHOL OR DRUGS"
"19","BATTERY 2ND OR SUBSQ OFF"
"20","DISORDERLY CONDUCT"
"21","MARIJUANA-POSSESS NOT MORE THAN 20"
"22","GRAMS"
"23","VOP/BATTERY"
"24","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"25","WITHOUT PRESCRIPTION"
"26","MARIJUANA-POSSESS WITH INTENT TO SELL"
"27","MFG OR DELIVER SCHEDULE I"
"28","MARIJUANA-POSSESS POSSESS MARIJUANA"
"29","OVER 20 GRAMS"
"30","NARCOTIC EQUIP-POSSESS AND OR USE"
"31","BATTERY TOUCH OR STRIKE"
"32","WRIT-WHS $2000 OR 90 DAYS LCJ"
"33","DOR/RUFF/CARROLL"
"34","VOP/FTA/POSSESSION OF HYDROCODONE"
"35","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"36","SUSP 2ND OFF"
"37","MARIJUANA-POSSESS NOT MORE THAN 20"
"38","GRAMS"
"39","SMUGGLE CONTRABAND INTRODUCE INTO"
"40","DETENTION FACILITY"
"41","PETIT THEFT 1ST OFF"
"42","FTA/DRIVING WHILE LICENSE SUSPENDED"
"43","OR REVOKED"
"44","NARCOTIC EQUIP-POSSESS AND OR USE"
"45","FTA/POSSESSION OF METHAMPHETAMINE"
"46","FTA/POSSESSION OF CANNABIS"
"47","FTA/POSSESSION OF PARAPHERNALIA"
"48","DUI ALCOHOL OR DRUGS"
"49","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"50","SUSP 3RD OR SUBSQ OFF"
"51","FTA/DISORDERLY CONDUCT"
"52","GRAND THEFT OF  MOTOR VEHICLE"
"53","RECKLESS DRIVE DAMAGE PERSON OR"
"54","PROPERTY"
"55","MOVING TRAFFIC VIOL OPERATE MOTOR"
"56","VEHICLE WO VALID LICENSE"
"57","FLEE/ELUDE POLICE - -FAIL TO OBEY LEO"
"58","ORDER TO STOP"
"59","VOP/POSSESSION OF BURGLARY TOOL"
"60","GRAND THEFT IS $300 OR MORE BUT LESS"
"61","THAN $5000"
"62","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"63","MARIJUANA-POSSESS POSSESS MARIJUANA"
"64","OVER 20 GRAMS"
"65","NARCOTIC EQUIP-POSSESS AND OR USE"
"66","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"67","WITHOUT PRESCRIPTION"
